sweep_type,floor_friction,body_friction,amp_z,amp_y,frequency,gait,v_sim_mpm,v_real_mpm,abs_err_pct,gap_pct
floor_only,0.45,0.3,0.4,0.0,2.5,C,1.1238,0.72,56.08,-56.08
floor_only,0.45,0.3,0.4,0.0,3.0,C,0.3516,0.27,30.22,-30.22
floor_only,0.45,0.3,0.6,0.0,2.0,C,0.7824,0.47,66.47,-66.47
floor_only,0.45,0.3,0.6,0.0,2.5,C,1.0074,1.42,29.06,29.06
floor_only,0.45,0.3,0.6,0.0,3.0,C,0.7176,0.97,26.02,26.02
isotropic,0.6,0.6,0.4,0.4,2.5,S,0.8298,0.93,10.77,10.77
isotropic,0.6,0.6,0.4,0.4,3.0,S,0.5694,0.7,18.66,18.66
isotropic,0.6,0.6,0.4,0.6,3.0,S,0.8496,1.46,41.81,41.81
isotropic,0.6,0.6,0.6,0.4,3.0,S,1.1742,0.65,80.65,-80.65
isotropic,0.6,0.6,0.6,0.6,3.0,S,1.0536,1.6,34.15,34.15
isotropic,0.6,0.6,0.4,0.0,2.0,C,0.6954,0.62,12.16,-12.16
isotropic,0.6,0.6,0.4,0.0,2.5,C,1.1382,0.72,58.08,-58.08
isotropic,0.6,0.6,0.4,0.0,3.0,C,0.3192,0.27,18.22,-18.22
isotropic,0.6,0.6,0.6,0.0,2.0,C,0.708,0.47,50.64,-50.64
isotropic,0.6,0.6,0.6,0.0,2.5,C,1.0494,1.42,26.1,26.1
isotropic,0.6,0.6,0.6,0.0,3.0,C,0.7266,0.97,25.09,25.09
floor_only,0.6,0.3,0.4,0.4,2.5,S,0.8604,0.93,7.48,7.48
floor_only,0.6,0.3,0.4,0.4,3.0,S,0.5652,0.7,19.26,19.26
floor_only,0.6,0.3,0.4,0.6,3.0,S,0.849,1.46,41.85,41.85
floor_only,0.6,0.3,0.6,0.4,3.0,S,1.1562,0.65,77.88,-77.88
floor_only,0.6,0.3,0.6,0.6,3.0,S,1.0662,1.6,33.36,33.36
floor_only,0.6,0.3,0.4,0.0,2.0,C,0.7068,0.62,14.0,-14.0
floor_only,0.6,0.3,0.4,0.0,2.5,C,1.1142,0.72,54.75,-54.75
floor_only,0.6,0.3,0.4,0.0,3.0,C,0.3216,0.27,19.11,-19.11
floor_only,0.6,0.3,0.6,0.0,2.0,C,0.7314,0.47,55.62,-55.62
floor_only,0.6,0.3,0.6,0.0,2.5,C,1.0692,1.42,24.7,24.7
floor_only,0.6,0.3,0.6,0.0,3.0,C,0.6912,0.97,28.74,28.74
isotropic,0.75,0.75,0.4,0.4,2.5,S,0.8814,0.93,5.23,5.23
isotropic,0.75,0.75,0.4,0.4,3.0,S,0.5808,0.7,17.03,17.03
isotropic,0.75,0.75,0.4,0.6,3.0,S,0.8538,1.46,41.52,41.52
isotropic,0.75,0.75,0.6,0.4,3.0,S,1.1946,0.65,83.78,-83.78
isotropic,0.75,0.75,0.6,0.6,3.0,S,1.0914,1.6,31.79,31.79
isotropic,0.75,0.75,0.4,0.0,2.0,C,0.6666,0.62,7.52,-7.52
isotropic,0.75,0.75,0.4,0.0,2.5,C,1.1028,0.72,53.17,-53.17
isotropic,0.75,0.75,0.4,0.0,3.0,C,0.2988,0.27,10.67,-10.67
isotropic,0.75,0.75,0.6,0.0,2.0,C,0.672,0.47,42.98,-42.98
isotropic,0.75,0.75,0.6,0.0,2.5,C,1.0728,1.42,24.45,24.45
isotropic,0.75,0.75,0.6,0.0,3.0,C,0.7842,0.97,19.15,19.15
floor_only,0.75,0.3,0.4,0.4,2.5,S,0.9072,0.93,2.45,2.45
floor_only,0.75,0.3,0.4,0.4,3.0,S,0.5556,0.7,20.63,20.63
floor_only,0.75,0.3,0.4,0.6,3.0,S,0.8472,1.46,41.97,41.97
floor_only,0.75,0.3,0.6,0.4,3.0,S,1.1646,0.65,79.17,-79.17
floor_only,0.75,0.3,0.6,0.6,3.0,S,1.1214,1.6,29.91,29.91
floor_only,0.75,0.3,0.4,0.0,2.0,C,0.6942,0.62,11.97,-11.97
floor_only,0.75,0.3,0.4,0.0,2.5,C,1.077,0.72,49.58,-49.58
floor_only,0.75,0.3,0.4,0.0,3.0,C,0.2964,0.27,9.78,-9.78
floor_only,0.75,0.3,0.6,0.0,2.0,C,0.7074,0.47,50.51,-50.51
floor_only,0.75,0.3,0.6,0.0,2.5,C,1.116,1.42,21.41,21.41
floor_only,0.75,0.3,0.6,0.0,3.0,C,0.7086,0.97,26.95,26.95
isotropic,0.9,0.9,0.4,0.4,2.5,S,0.9414,0.93,1.23,-1.23
isotropic,0.9,0.9,0.4,0.4,3.0,S,0.5718,0.7,18.31,18.31
isotropic,0.9,0.9,0.4,0.6,3.0,S,0.834,1.46,42.88,42.88
isotropic,0.9,0.9,0.6,0.4,3.0,S,1.254,0.65,92.92,-92.92
isotropic,0.9,0.9,0.6,0.6,3.0,S,1.1682,1.6,26.99,26.99
isotropic,0.9,0.9,0.4,0.0,2.0,C,0.6612,0.62,6.65,-6.65
isotropic,0.9,0.9,0.4,0.0,2.5,C,1.0914,0.72,51.58,-51.58
isotropic,0.9,0.9,0.4,0.0,3.0,C,0.2814,0.27,4.22,-4.22
isotropic,0.9,0.9,0.6,0.0,2.0,C,0.6654,0.47,41.57,-41.57
isotropic,0.9,0.9,0.6,0.0,2.5,C,1.104,1.42,22.25,22.25
isotropic,0.9,0.9,0.6,0.0,3.0,C,0.8412,0.97,13.28,13.28
floor_only,0.9,0.3,0.4,0.4,2.5,S,0.9702,0.93,4.32,-4.32
floor_only,0.9,0.3,0.4,0.4,3.0,S,0.5472,0.7,21.83,21.83
floor_only,0.9,0.3,0.4,0.6,3.0,S,0.8658,1.46,40.7,40.7
floor_only,0.9,0.3,0.6,0.4,3.0,S,1.2078,0.65,85.82,-85.82
floor_only,0.9,0.3,0.6,0.6,3.0,S,1.2066,1.6,24.59,24.59
floor_only,0.9,0.3,0.4,0.0,2.0,C,0.6762,0.62,9.06,-9.06
floor_only,0.9,0.3,0.4,0.0,2.5,C,1.0782,0.72,49.75,-49.75
floor_only,0.9,0.3,0.4,0.0,3.0,C,0.2772,0.27,2.67,-2.67
floor_only,0.9,0.3,0.6,0.0,2.0,C,0.6894,0.47,46.68,-46.68
floor_only,0.9,0.3,0.6,0.0,2.5,C,1.1436,1.42,19.46,19.46
floor_only,0.9,0.3,0.6,0.0,3.0,C,0.714,0.97,26.39,26.39
isotropic,1.1,1.1,0.4,0.4,2.5,S,1.0068,0.93,8.26,-8.26
isotropic,1.1,1.1,0.4,0.4,3.0,S,0.5382,0.7,23.11,23.11
isotropic,1.1,1.1,0.4,0.6,3.0,S,0.8418,1.46,42.34,42.34
isotropic,1.1,1.1,0.6,0.4,3.0,S,1.3188,0.65,102.89,-102.89
isotropic,1.1,1.1,0.6,0.6,3.0,S,1.2744,1.6,20.35,20.35
isotropic,1.1,1.1,0.4,0.0,2.0,C,0.6534,0.62,5.39,-5.39
isotropic,1.1,1.1,0.4,0.0,2.5,C,1.1088,0.72,54.0,-54.0
isotropic,1.1,1.1,0.4,0.0,3.0,C,0.2616,0.27,3.11,3.11
isotropic,1.1,1.1,0.6,0.0,2.0,C,0.6594,0.47,40.3,-40.3
isotropic,1.1,1.1,0.6,0.0,2.5,C,1.1436,1.42,19.46,19.46
isotropic,1.1,1.1,0.6,0.0,3.0,C,0.8664,0.97,10.68,10.68
floor_only,1.1,0.3,0.4,0.4,2.5,S,0.996,0.93,7.1,-7.1
floor_only,1.1,0.3,0.4,0.4,3.0,S,0.5502,0.7,21.4,21.4
floor_only,1.1,0.3,0.4,0.6,3.0,S,0.864,1.46,40.82,40.82
floor_only,1.1,0.3,0.6,0.4,3.0,S,1.2408,0.65,90.89,-90.89
floor_only,1.1,0.3,0.6,0.6,3.0,S,1.2948,1.6,19.08,19.08
floor_only,1.1,0.3,0.4,0.0,2.0,C,0.6522,0.62,5.19,-5.19
floor_only,1.1,0.3,0.4,0.0,2.5,C,1.0878,0.72,51.08,-51.08
floor_only,1.1,0.3,0.4,0.0,3.0,C,0.264,0.27,2.22,2.22
floor_only,1.1,0.3,0.6,0.0,2.0,C,0.6738,0.47,43.36,-43.36
floor_only,1.1,0.3,0.6,0.0,2.5,C,1.155,1.42,18.66,18.66
floor_only,1.1,0.3,0.6,0.0,3.0,C,0.6942,0.97,28.43,28.43
isotropic,1.35,1.35,0.4,0.4,2.5,S,1.0602,0.93,14.0,-14.0
isotropic,1.35,1.35,0.4,0.4,3.0,S,0.5106,0.7,27.06,27.06
isotropic,1.35,1.35,0.4,0.6,3.0,S,0.8964,1.46,38.6,38.6
isotropic,1.35,1.35,0.6,0.4,3.0,S,1.3224,0.65,103.45,-103.45
isotropic,1.35,1.35,0.6,0.6,3.0,S,1.374,1.6,14.13,14.13
isotropic,1.35,1.35,0.4,0.0,2.0,C,0.6276,0.62,1.23,-1.23
isotropic,1.35,1.35,0.4,0.0,2.5,C,1.1556,0.72,60.5,-60.5
isotropic,1.35,1.35,0.4,0.0,3.0,C,0.2316,0.27,14.22,14.22
isotropic,1.35,1.35,0.6,0.0,2.0,C,0.6396,0.47,36.09,-36.09
isotropic,1.35,1.35,0.6,0.0,2.5,C,1.1808,1.42,16.85,16.85
isotropic,1.35,1.35,0.6,0.0,3.0,C,0.8004,0.97,17.48,17.48
floor_only,1.35,0.3,0.4,0.4,2.5,S,0.9882,0.93,6.26,-6.26
floor_only,1.35,0.3,0.4,0.4,3.0,S,0.5418,0.7,22.6,22.6
floor_only,1.35,0.3,0.4,0.6,3.0,S,0.849,1.46,41.85,41.85
floor_only,1.35,0.3,0.6,0.4,3.0,S,1.2132,0.65,86.65,-86.65
floor_only,1.35,0.3,0.6,0.6,3.0,S,1.2834,1.6,19.79,19.79
floor_only,1.35,0.3,0.4,0.0,2.0,C,0.633,0.62,2.1,-2.1
floor_only,1.35,0.3,0.4,0.0,2.5,C,1.0644,0.72,47.83,-47.83
floor_only,1.35,0.3,0.4,0.0,3.0,C,0.255,0.27,5.56,5.56
floor_only,1.35,0.3,0.6,0.0,2.0,C,0.6546,0.47,39.28,-39.28
floor_only,1.35,0.3,0.6,0.0,2.5,C,1.155,1.42,18.66,18.66
floor_only,1.35,0.3,0.6,0.0,3.0,C,0.6654,0.97,31.4,31.4
isotropic,1.6,1.6,0.4,0.4,2.5,S,1.0578,0.93,13.74,-13.74
isotropic,1.6,1.6,0.4,0.4,3.0,S,0.5256,0.7,24.91,24.91
isotropic,1.6,1.6,0.4,0.6,3.0,S,0.9114,1.46,37.58,37.58
