t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.0005,0.014531094,0.033146847,0.08,2.2414272e-15,-0.70710678,2.2414272e-15,0.70710678,0,0,0
0.0105,0.014528825,0.033250686,0.079509191,0.00045698969,-0.70610091,0.00046055733,0.70811092,-0.0017393106,0.018562195,-0.094415298
0.0205,0.014528909,0.033504693,0.078051644,0.0015555471,-0.70380002,0.0015639929,0.71039472,-0.0022724611,0.030601403,-0.19282733
0.0305,0.014538237,0.033852233,0.075598843,0.0030345314,-0.70084644,0.003040126,0.71329925,-0.0019601448,0.037706588,-0.29319293
0.0405,0.014569089,0.034203605,0.072090226,0.0046290807,-0.69821165,0.0046246539,0.71586149,-0.00058668999,0.032724793,-0.40279779
0.0505,0.014623026,0.034506135,0.0674994,0.0061579437,-0.69635289,0.0061457313,0.71764683,0.00061162961,0.027981605,-0.50966611
0.0605,0.014691499,0.034762149,0.061852048,0.0075626208,-0.69508644,0.0075454685,0.71884679,0.001604878,0.023470161,-0.61416605
0.0705,0.014776603,0.03494917,0.055134847,0.008744618,-0.69481011,0.0087316738,0.71908706,0.0028359431,0.014785389,-0.72285319
0.0805,0.014783351,0.0350647,0.047064278,0.0093780228,-0.69586985,0.0098639972,0.71803893,-0.025241387,0.01196039,-0.91102306
0.0905,0.014758783,0.035169544,0.040895918,0.0098954215,-0.69755846,0.010662935,0.71638019,0.0097493709,0.0093229248,-0.29652721
0.1005,0.015008046,0.035247865,0.039828901,0.010491122,-0.69886439,0.011282686,0.71508825,0.02481091,0.0069341647,0.017368097
0.1105,0.015336135,0.035312958,0.040661181,0.011075554,-0.70034464,0.011808137,0.71362124,0.027884561,0.0063881826,0.12137449
0.1205,0.015668177,0.035375433,0.041998772,0.011642284,-0.70193862,0.012308131,0.71203591,0.026453107,0.006204653,0.13627708
0.1305,0.015986684,0.035451951,0.043290446,0.012364928,-0.70366559,0.012999453,0.71030476,0.023606754,0.008837896,0.12113984
0.1405,0.016296374,0.035543522,0.044395874,0.013271698,-0.70544762,0.013929698,0.70850087,0.021733247,0.0096530178,0.10058452
0.1505,0.016591136,0.035636119,0.045289567,0.01422746,-0.7072003,0.014952353,0.70671193,0.019858165,0.0093457569,0.079504356
0.1605,0.016895405,0.035743851,0.045926384,0.015335881,-0.70904568,0.016162862,0.70481047,0.021088337,0.012417151,0.050572795
0.1705,0.017219936,0.035868957,0.046306619,0.01661242,-0.7110333,0.017563872,0.70274261,0.021428729,0.013299576,0.027769062
0.1805,0.017547455,0.035923845,0.046511577,0.017784368,-0.7130504,0.018867259,0.70063319,0.02186493,-0.01410114,0.010997661
0.1905,0.017818987,0.035404768,0.046378503,0.017951705,-0.71544965,0.019104888,0.69817228,0.021704118,-0.081723024,-0.033531583
0.2005,0.01804546,0.03433516,0.045880811,0.017184599,-0.71832168,0.018278761,0.69525862,0.022157844,-0.12687456,-0.063924411
0.2105,0.018236392,0.03291459,0.045130096,0.015773261,-0.72145542,0.016668337,0.69208052,0.022052566,-0.15421601,-0.084830864
0.2205,0.018420238,0.031288868,0.044091624,0.013989792,-0.72493806,0.014544822,0.68851837,0.024342699,-0.16946188,-0.12036187
0.2305,0.018616403,0.029570944,0.042767635,0.012038674,-0.72877969,0.012119844,0.68453513,0.025572613,-0.17399429,-0.14486926
0.2405,0.018817612,0.028066016,0.041467294,0.010424812,-0.73242468,0.0099948588,0.68069488,0.02101348,-0.1055462,-0.0848852
0.2505,0.019006132,0.027345986,0.041080333,0.0098617914,-0.73422329,0.0092235882,0.67877377,0.01823552,-0.051260864,-0.0090927034
0.2605,0.019211651,0.026841791,0.041196447,0.0096916228,-0.73506078,0.0089205897,0.67787325,0.022772214,-0.052453883,0.024204923
0.2705,0.019468702,0.026302774,0.041502283,0.0096729553,-0.73545611,0.0087098224,0.67744733,0.027555786,-0.055552755,0.033178222
0.2805,0.019773298,0.02569845,0.041876345,0.0098288044,-0.73576201,0.0084101206,0.67711663,0.033109564,-0.064521699,0.036514432
0.2905,0.020146992,0.025040447,0.042214018,0.0098573946,-0.7363209,0.008241325,0.67651049,0.039685748,-0.066702405,0.029999711
0.3005,0.020556563,0.02427773,0.042373442,0.0096699341,-0.73728354,0.007638549,0.67547104,0.042464705,-0.083735382,0.0024830037
0.3105,0.020978712,0.023401659,0.042359128,0.0090576709,-0.73866285,0.0065119717,0.67398275,0.045930611,-0.081658366,-0.01697606
0.3205,0.021419066,0.023068385,0.042362589,0.0088603407,-0.74027259,0.0054691486,0.67222621,0.04336363,0.0020770301,0.010608225
0.3305,0.021858989,0.023358712,0.042564246,0.0090154812,-0.74164612,0.0048369476,0.67071332,0.042256756,0.051093496,0.017232441
0.3405,0.022308451,0.024107687,0.042634336,0.0093574439,-0.74308139,0.0046073589,0.66911976,0.041695922,0.088258579,0.014232994
0.3505,0.022753005,0.02517422,0.042689003,0.0096707235,-0.7443058,0.0047627367,0.66775195,0.040352897,0.11837132,0.0062225526
0.3605,0.023189437,0.026484104,0.042706043,0.0099106204,-0.7453677,0.0052616731,0.66655914,0.039043563,0.13902755,0.0052963449
0.3705,0.023634079,0.027960702,0.042679314,0.010018655,-0.74629617,0.0060587161,0.66551105,0.039261382,0.15802803,-0.013573407
0.3805,0.023933153,0.029490015,0.042653135,0.010339377,-0.74680226,0.0067298231,0.66493172,0.016954505,0.15503196,-0.0087218399
0.3905,0.024066726,0.030979565,0.042653564,0.010752491,-0.74681985,0.0072536297,0.6648999,0.0074749492,0.14976594,-0.007774464
0.4005,0.024120093,0.032392394,0.04265114,0.011147288,-0.74658665,0.0077321253,0.66514986,0.0012009489,0.13826922,-0.00508982
0.4105,0.024131641,0.033693387,0.042643972,0.011483771,-0.74621535,0.0081763658,0.66555535,-0.0026882713,0.12163538,0.0016286224
0.4205,0.024047755,0.03475951,0.042605933,0.011550417,-0.74568008,0.0087022837,0.66614718,-0.0091871897,0.09913016,-0.0028889495
0.4305,0.023960776,0.035707349,0.042579966,0.011967277,-0.7448333,0.0088555946,0.66708449,-0.0092113047,0.087936165,-0.0020864982
0.4405,0.023823246,0.036424644,0.042553581,0.012199163,-0.74356767,0.0090121524,0.66848865,-0.014428116,0.062545306,-0.011242622
0.4505,0.023655999,0.03696057,0.042488438,0.012108954,-0.74218611,0.0093524242,0.67001917,-0.015050908,0.047331376,-0.0011055125
0.4605,0.023470066,0.037384435,0.042362784,0.011709747,-0.74018556,0.0099218612,0.67222747,-0.015387901,0.040792062,-0.013651881
0.4705,0.023284203,0.037817647,0.042253241,0.011669824,-0.73734353,0.010111646,0.67534146,-0.01380785,0.040309485,-0.010839613
0.4805,0.02309174,0.038161391,0.042105216,0.011515728,-0.73414193,0.010431848,0.67881823,-0.013854819,0.029474502,-0.018560926
0.4905,0.022889079,0.038346508,0.041914644,0.011070381,-0.73055201,0.010903108,0.68268025,-0.013837026,0.010190555,-0.018065905
0.5005,0.02268094,0.038351801,0.041695717,0.01051077,-0.72661708,0.0113531,0.68686844,-0.010819817,-0.0011688791,-0.016252015
0.5105,0.022545512,0.038489508,0.041603176,0.010835805,-0.72253016,0.010933329,0.69116801,-0.0015815767,0.022970023,-0.014602649
