t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.21460509,-0.00004131,-0.00051811,-0.00005474,-0.00579134,-0.99966651,-0.02514984,0.00093276,0.00005193,-0.00059084,0.00053100
0.21959615,-0.00004193,-0.00060389,-0.00006650,-0.00579289,-0.99966669,-0.02514426,0.00092242,0.00004993,-0.00066516,0.00053216
0.22458696,-0.00004246,-0.00069110,-0.00008194,-0.00578820,-0.99966615,-0.02516271,0.00091910,0.00004816,-0.00074309,0.00053398
0.22957802,-0.00004258,-0.00078734,-0.00009699,-0.00578608,-0.99966627,-0.02516012,0.00091239,0.00004648,-0.00082093,0.00053431
0.23456812,-0.00012505,-0.00026910,0.00010463,-0.00574680,-0.99966586,-0.02518579,0.00091352,0.00004516,-0.00090539,0.00053560
0.23958373,-0.00013234,-0.00033945,0.00010143,-0.00574098,-0.99966574,-0.02519234,0.00092002,0.00026402,-0.00067152,0.00076992
0.24457455,-0.00013853,-0.00041650,0.00010236,-0.00574729,-0.99966580,-0.02519205,0.00090652,0.00027886,-0.00075235,0.00077840
0.24956584,-0.00014494,-0.00050004,0.00010266,-0.00575060,-0.99966568,-0.02519260,0.00090564,0.00029372,-0.00083424,0.00079070
0.25455689,-0.00015157,-0.00058977,0.00010230,-0.00575129,-0.99966574,-0.02519004,0.00089956,0.00030866,-0.00091900,0.00080231
0.25954795,-0.00015575,-0.00068908,0.00009964,-0.00574993,-0.99966592,-0.02518462,0.00090017,0.00032371,-0.00100693,0.00081305
0.26453900,-0.00016106,-0.00079220,0.00009858,-0.00574464,-0.99966604,-0.02518036,0.00089538,0.00033927,-0.00110640,0.00082402
0.26952887,-0.00005326,-0.00049182,0.00036287,-0.00571995,-0.99966693,-0.02514856,0.00088951,0.00035174,-0.00068020,0.00091013
0.27451992,-0.00005233,-0.00057408,0.00038085,-0.00571949,-0.99966681,-0.02515485,0.00088282,0.00036827,-0.00074745,0.00092068
0.27951097,-0.00004972,-0.00066841,0.00039608,-0.00571933,-0.99966699,-0.02514802,0.00088354,0.00038505,-0.00082142,0.00092811
0.28450179,-0.00004728,-0.00076972,0.00041212,-0.00571214,-0.99966687,-0.02515522,0.00088459,0.00040191,-0.00089835,0.00093702
0.28949285,-0.00004487,-0.00088098,0.00043088,-0.00571922,-0.99966681,-0.02515697,0.00087581,0.00041891,-0.00097969,0.00094485
0.29448271,-0.00004266,-0.00099842,0.00044878,-0.00572194,-0.99966693,-0.02515291,0.00087471,0.00043615,-0.00106692,0.00095092
0.29947400,0.00000083,-0.00050382,0.00046102,-0.00571189,-0.99966669,-0.02516365,0.00089621,0.00045352,-0.00115783,0.00095648
0.30446506,0.00000878,-0.00059623,0.00047142,-0.00570987,-0.99966687,-0.02515485,0.00090084,0.00035668,-0.00059973,0.00096872
0.30945587,0.00001559,-0.00069283,0.00048371,-0.00571802,-0.99966687,-0.02515346,0.00090090,0.00036544,-0.00065311,0.00097579
0.31444693,0.00002282,-0.00079874,0.00049638,-0.00572023,-0.99966675,-0.02515850,0.00090546,0.00037531,-0.00071528,0.00098240
0.31943798,0.00003038,-0.00091192,0.00051151,-0.00571049,-0.99966687,-0.02515576,0.00090342,0.00038506,-0.00078285,0.00098907
0.32442784,0.00003830,-0.00103259,0.00052499,-0.00571682,-0.99966681,-0.02515657,0.00091001,0.00039491,-0.00086067,0.00099713
0.32941890,0.00004657,-0.00116048,0.00053788,-0.00571331,-0.99966693,-0.02515073,0.00090728,0.00040449,-0.00094019,0.00100445
0.33440971,0.00016002,-0.00071769,0.00079351,-0.00569339,-0.99966764,-0.02512584,0.00093176,0.00041388,-0.00102318,0.00101150
0.33940077,0.00017350,-0.00080705,0.00082425,-0.00568479,-0.99966747,-0.02513522,0.00093116,0.00038519,-0.00066670,0.00118473
0.34439182,0.00018898,-0.00090800,0.00085367,-0.00568951,-0.99966758,-0.02512910,0.00093374,0.00039334,-0.00072832,0.00120241
0.34938192,0.00020428,-0.00101522,0.00088335,-0.00568197,-0.99966758,-0.02513283,0.00093271,0.00040129,-0.00079353,0.00121834
0.35437298,0.00022109,-0.00112885,0.00091209,-0.00569709,-0.99966735,-0.02513726,0.00092883,0.00040908,-0.00086304,0.00123174
0.35936379,0.00023750,-0.00124924,0.00094096,-0.00568888,-0.99966753,-0.02513235,0.00092903,0.00041855,-0.00093649,0.00125080
0.36435485,0.00025426,-0.00137703,0.00096938,-0.00568925,-0.99966753,-0.02513311,0.00092703,0.00042732,-0.00101472,0.00126413
0.36934590,0.00021325,-0.00086540,0.00096613,-0.00568258,-0.99966782,-0.02512308,0.00097422,0.00044770,-0.00066500,0.00125134
0.37433577,0.00022763,-0.00096424,0.00099037,-0.00568515,-0.99966753,-0.02513128,0.00098708,0.00046055,-0.00073123,0.00126045
0.37932682,0.00024236,-0.00107023,0.00101193,-0.00567755,-0.99966758,-0.02513158,0.00098295,0.00047350,-0.00080034,0.00126982
0.38431787,0.00025732,-0.00118083,0.00102816,-0.00568008,-0.99966764,-0.02512741,0.00099577,0.00048661,-0.00087274,0.00127900
0.38930869,0.00027267,-0.00129950,0.00104610,-0.00569661,-0.99966782,-0.02511579,0.00099317,0.00049836,-0.00094215,0.00129032
0.39429998,0.00028842,-0.00142627,0.00106315,-0.00567264,-0.99966776,-0.02512311,0.00100188,0.00051063,-0.00101930,0.00130005
0.39929080,0.00030470,-0.00156401,0.00108217,-0.00568780,-0.99966794,-0.02511481,0.00100482,0.00052278,-0.00110125,0.00130957
0.40428090,0.00025615,-0.00080412,0.00110283,-0.00566071,-0.99966735,-0.02514143,0.00104416,0.00032386,-0.00054883,0.00101596
0.40927196,0.00026913,-0.00088496,0.00112207,-0.00568049,-0.99966717,-0.02514256,0.00104335,0.00032326,-0.00060206,0.00101054
0.41426277,0.00028240,-0.00097206,0.00113923,-0.00568363,-0.99966717,-0.02514243,0.00104482,0.00032288,-0.00065868,0.00100635
0.41925383,0.00029289,-0.00107331,0.00116513,-0.00568323,-0.99966711,-0.02514577,0.00104312,0.00032244,-0.00071238,0.00100462
0.42424488,0.00030493,-0.00117477,0.00118614,-0.00567676,-0.99966693,-0.02515514,0.00103265,0.00032243,-0.00077382,0.00100151
