t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.0005,0.014531094,0.033146847,0.08,2.2414272e-15,-0.70710678,2.2414272e-15,0.70710678,0,0,0
0.0105,0.014513595,0.03307996,0.079432807,-0.00021575836,-0.70679063,-0.00021946007,0.70742272,0.00012930836,-0.012519588,-0.10726261
0.0205,0.014471252,0.032896582,0.077817233,-0.00078288726,-0.70606359,-0.00080777683,0.70814754,0.0005533159,-0.023229611,-0.210361
0.0305,0.014414652,0.03261776,0.075187028,-0.0016154051,-0.70512074,-0.0016943366,0.7090834,0.0012020526,-0.031678198,-0.31076694
0.0405,0.014358684,0.032274058,0.071523072,-0.0025461229,-0.70416983,-0.0027107886,0.71002184,0.0019830368,-0.036492267,-0.41677681
0.0505,0.014311901,0.03189088,0.066818142,-0.0034816297,-0.70333303,-0.0037587337,0.71084204,0.0028117329,-0.039671577,-0.51946601
0.0605,0.014273904,0.031483689,0.061100615,-0.0044270735,-0.70261117,-0.0048426919,0.71154374,0.0035760829,-0.041401718,-0.6197035
0.0705,0.014246932,0.031108435,0.054410644,-0.0051864904,-0.70183792,-0.0057607776,0.7122945,0.0032912788,-0.03419706,-0.71484169
0.0805,0.014230945,0.030799405,0.046766195,-0.0056662667,-0.70095307,-0.0064083511,0.7131561,0.0030651448,-0.028173086,-0.81060105
0.0905,0.014174357,0.030569755,0.039175324,-0.0053819935,-0.70139165,-0.0072505203,0.71271889,-0.0079823106,-0.016886368,-0.50638706
0.1005,0.014108121,0.030463316,0.036682794,-0.0053076775,-0.70138119,-0.0074442813,0.71272775,-0.0050453118,-0.0070929238,-0.078454912
0.1105,0.01405659,0.030409289,0.036887605,-0.0053053855,-0.7004659,-0.0072095625,0.71362974,-0.0035347477,-0.0040178538,0.083886733
0.1205,0.014012536,0.030372793,0.038017929,-0.0052874659,-0.69908911,-0.0068283247,0.7149824,-0.002774483,-0.0029790667,0.12969719
0.1305,0.013978736,0.030316283,0.039393157,-0.0051876361,-0.69759374,-0.0063924982,0.71644623,-0.0016619914,-0.0090115948,0.14110024
0.1405,0.013959671,0.030192342,0.040760107,-0.004979442,-0.69611091,-0.0059255038,0.71789254,-0.00072749694,-0.014586172,0.13172068
0.1505,0.013957858,0.030037387,0.041987293,-0.0045963158,-0.69467607,-0.0053609198,0.71928804,8.8647901e-05,-0.015987261,0.11471864
0.1605,0.013991072,0.029892773,0.043041962,-0.0039777588,-0.69359418,-0.0046220218,0.72034015,0.002541277,-0.013237624,0.097501161
0.1705,0.014092834,0.029930557,0.043947983,-0.0031505371,-0.69290783,-0.0038191953,0.72100917,0.0099687791,0.016164645,0.084629185
