t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.4005,0.020469805,0.037442985,0.041829311,0.0071679041,-0.72809655,0.0063933607,0.6854073,0.0030350568,0.073752558,-0.0064056633
0.4105,0.02046569,0.038041445,0.041810606,0.0070796258,-0.72735872,0.0066028227,0.68618917,0.0003615529,0.055777576,-0.00058492379
0.4205,0.020464658,0.038569867,0.041802396,0.0072649207,-0.72662787,0.0064992687,0.6869621,0.00072360835,0.049725175,-0.0037655881
0.4305,0.02045319,0.039051002,0.041751293,0.0071222878,-0.72573047,0.0066421602,0.6879102,0.000348648,0.046291781,-0.0015117683
0.4405,0.020437167,0.039497334,0.041682946,0.0069665988,-0.72459319,0.0067698588,0.68910837,0.00057872874,0.042596138,-0.0054246817
0.4505,0.020419077,0.039894541,0.041622955,0.006821129,-0.72331839,0.0068751116,0.69044675,0.00060404632,0.037258322,-0.0038411859
0.4605,0.020404325,0.04022522,0.041539983,0.0066228099,-0.72163366,0.0070275831,0.69220779,0.003332299,0.029723985,-0.0042947365
0.4705,0.020415194,0.040391922,0.04154599,0.0064785348,-0.71952278,0.0070037917,0.69440331,0.0057161625,0.0059219019,0.010851403
0.4805,0.020421693,0.04036634,0.041706312,0.0059317249,-0.71772586,0.0068574947,0.69626675,0.0060158638,-0.0092112647,0.01868263
0.4905,0.020411334,0.040211749,0.041913472,0.0052894863,-0.71597982,0.0063337579,0.6980722,0.005264058,-0.020601281,0.023272964
0.5005,0.020382424,0.039958452,0.042167417,0.0043615089,-0.71405633,0.0057154229,0.70005133,0.0043454946,-0.030188648,0.022684912
0.5105,0.020342391,0.039632509,0.042424567,0.0032977549,-0.71212001,0.0050625066,0.70203175,0.004417384,-0.034578355,0.025076443
0.5205,0.020292883,0.039218378,0.042489945,0.0024315566,-0.71022576,0.0040023306,0.7039584,0.0039856509,-0.042074039,0.014761395
0.5305,0.020242463,0.038798614,0.042690714,0.0011094038,-0.70809936,0.0032340454,0.70610453,0.0049522593,-0.044062807,0.010650887
0.5405,0.02019501,0.038370945,0.04284084,-0.00014321494,-0.70601246,0.0023423855,0.70819552,0.0051669886,-0.042514507,0.012584196
0.5505,0.020139686,0.037996988,0.043050514,-0.0012017419,-0.70373425,0.0011784301,0.71046131,0.0046703467,-0.032374559,0.025288144
0.5605,0.020083179,0.037703495,0.043356881,-0.0018717973,-0.70113359,-0.00044188267,0.71302734,0.0060826768,-0.030404902,0.022972389
0.5705,0.020040572,0.03741456,0.043677736,-0.0022076566,-0.69843961,-0.0023705449,0.71566166,0.0069185233,-0.027744838,0.033455177
0.5805,0.020007376,0.037149306,0.044193098,-0.0030676568,-0.69544967,-0.0038548506,0.71855792,0.010296786,-0.026203539,0.06032713
0.5905,0.020002884,0.036894825,0.04486286,-0.0043988674,-0.69217416,-0.0049687828,0.72170001,0.012556162,-0.022173109,0.06911326
0.6005,0.020030672,0.036670668,0.045570999,-0.0060215191,-0.68880512,-0.0057608843,0.72489866,0.018577295,-0.02075066,0.074890377
0.6105,0.020128637,0.036427545,0.046358707,-0.0077220652,-0.68550303,-0.0066054359,0.72799886,0.026538506,-0.024733978,0.083346969
