t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.3905,0.018272935,0.035466584,0.044677893,0.00014795116,-0.72957405,0.00033557083,0.68390173,0.015441064,0.01082536,-0.063756382
0.4005,0.018535358,0.035603092,0.044158402,0.0011504788,-0.73149136,0.0014511,0.6818482,0.018165665,0.015781696,-0.044335045
0.4105,0.018827709,0.035748193,0.043615495,0.0022484278,-0.73339483,0.0026555347,0.67979403,0.019755525,0.013457347,-0.066149916
0.4205,0.019129954,0.035894458,0.043045321,0.0033613283,-0.73526259,0.0038669788,0.67776299,0.021027414,0.016161682,-0.045648488
0.4305,0.019437413,0.036035353,0.042445351,0.0044067567,-0.73716083,0.0050286767,0.67568425,0.019129055,0.015940249,-0.059366212
0.4405,0.019730344,0.036172407,0.041875719,0.0054148138,-0.73901132,0.0059364903,0.67364509,0.020636909,0.0078602669,-0.039039278
0.4505,0.019970494,0.036197091,0.041706976,0.0057117399,-0.73983326,0.0064445017,0.67273515,0.020054873,-0.00085465304,-0.0020141241
0.4605,0.020176863,0.036165548,0.041763608,0.0058802623,-0.74000591,0.0065527032,0.67254275,0.01965319,-0.0048203916,0.0099033426
0.4705,0.020378577,0.036102091,0.041888755,0.0060590717,-0.73992435,0.0064570493,0.67263181,0.020872708,-0.0075366463,0.012218428
0.4805,0.020590364,0.036019738,0.042007114,0.0061012509,-0.73980054,0.0064165672,0.67276798,0.021817325,-0.0089340311,0.010848063
0.4905,0.020797938,0.035957739,0.042065972,0.0060957311,-0.73911173,0.006409416,0.67352476,0.022219835,-0.0044839912,0.0025574373
0.5005,0.02099355,0.035919155,0.042065577,0.0060841645,-0.73772683,0.0064120285,0.67504148,0.021887679,-0.0033736168,-0.0012124138
0.5105,0.021172493,0.03589254,0.042037414,0.0060588866,-0.73601568,0.0064222281,0.67690691,0.020208323,-0.002572016,-0.0066284453
0.5205,0.021331959,0.035899135,0.041973185,0.0060810695,-0.73381547,0.0063071761,0.67929235,0.020090511,0.0030388615,-0.0081748095
0.5305,0.021479117,0.035958841,0.041880253,0.0059605616,-0.73112816,0.0062377466,0.68218559,0.019857232,0.0073198415,-0.012263227
0.5405,0.021615847,0.036050016,0.041774466,0.0057594706,-0.72827553,0.0061918125,0.68523225,0.01923843,0.010463063,-0.0079550982
0.5505,0.021755634,0.036176899,0.041679718,0.0056154636,-0.72544126,0.0060732617,0.68823438,0.020467543,0.01483362,-0.0086361187
0.5605,0.02194502,0.036336534,0.041576696,0.0056111869,-0.72281345,0.0058887886,0.69099534,0.02829032,0.016438043,-0.009063728
0.5705,0.022196697,0.036506498,0.041498881,0.005611404,-0.72035175,0.0057818528,0.69356213,0.030638456,0.017109274,-0.010371395
0.5805,0.022476492,0.036664563,0.041420348,0.0055977678,-0.718002,0.005716203,0.69599505,0.033681051,0.014619741,-0.0064009513
0.5905,0.022776021,0.036803733,0.041332568,0.0055817522,-0.7157647,0.005675098,0.69829616,0.034391755,0.013150907,-0.0091331941
0.6005,0.023079383,0.036928536,0.041252493,0.0055686895,-0.71363176,0.0056442906,0.70047616,0.034157476,0.011988638,-0.008796793
0.6105,0.023379531,0.037036535,0.041176114,0.0054452178,-0.71158496,0.0057331125,0.70255557,0.033198728,0.010808184,-0.0080720747
0.6205,0.023652524,0.037138574,0.041103828,0.005168805,-0.70957797,0.0059853326,0.70458254,0.02582247,0.011054503,-0.0052218635
0.6305,0.023809739,0.037267568,0.041036575,0.0051409388,-0.70749081,0.0060199067,0.70667821,0.014366157,0.014961326,-0.0079930706
0.6405,0.023884504,0.037427454,0.040954868,0.0052414238,-0.70541318,0.0059550364,0.70875194,0.0091005171,0.016348069,-0.0059783827
0.6505,0.023930504,0.037594143,0.040905306,0.0053739988,-0.70340536,0.0058629271,0.71074443,0.0076075929,0.016137848,-0.0069076004
0.6605,0.023951517,0.037687306,0.040913041,0.005401229,-0.70170287,0.0056761579,0.71242663,0.003735821,0.0024444931,0.0056761547
